0,1,2,3,4,5,6,7,8,9,10
pork,yogurt,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
tropical fruit,pastry,,,,,,,,,
newspapers,sliced cheese,,,,,,,,,
tropical fruit,mayonnaise,liquor,,,,,,,,
processed cheese,chocolate,chocolate,yogurt,,,,,,,
butter,specialty chocolate,,,,,,,,,
whole milk,coffee,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
other vegetables,beverages,fruit/vegetable juice,prosecco,other vegetables,ice cream,soda,root vegetables,,,
oil,processed cheese,,,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
hard cheese,soda,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
tropical fruit,soda,canned vegetables,,,,,,,,
butter,whole milk,,,,,,,,,
soda,frozen fish,,,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
cereals,dessert,,,,,,,,,
berries,soda,fruit/vegetable juice,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
finished products,whole milk,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
chocolate,baking powder,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
yogurt,ham,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
root vegetables,softener,,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
citrus fruit,other vegetables,fruit/vegetable juice,specialty bar,canned beer,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
chocolate,brown bread,salty snack,,,,,,,,
meat,detergent,roll products ,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
pip fruit,frozen fish,cling film/bags,,,,,,,,
salt,root vegetables,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
whipped/sour cream,pip fruit,,,,,,,,,
tropical fruit,butter milk,brown bread,,,,,,,,
tropical fruit,curd,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
processed cheese,instant coffee,,,,,,,,,
hamburger meat,citrus fruit,,,,,,,,,
soda,rolls/buns,,,,,,,,,
whole milk,sliced cheese,dish cleaner,,,,,,,,
whole milk,spread cheese,,,,,,,,,
other vegetables,salty snack,pickled vegetables,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
turkey,soda,rolls/buns,,,,,,,,
chocolate,white wine,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
citrus fruit,canned fruit,pip fruit,dessert,,,,,,,
beverages,bottled water,,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
whole milk,other vegetables,,,,,,,,,
Instant food products,white bread,semi-finished bread,,,,,,,,
beef,margarine,,,,,,,,,
sausage,pastry,,,,,,,,,
rice,coffee,,,,,,,,,
frankfurter,sausage,brown bread,canned beer,,,,,,,
pip fruit,bottled beer,,,,,,,,,
frankfurter,bottled beer,pastry,,,,,,,,
canned beer,pastry,,,,,,,,,
specialty fat,liquor (appetizer),,,,,,,,,
butter milk,other vegetables,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
pip fruit,other vegetables,,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
liquor,brandy,,,,,,,,,
citrus fruit,pastry,rolls/buns,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
bottled beer,frankfurter,pastry,sliced cheese,frozen vegetables,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
other vegetables,popcorn,butter,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
dessert,sliced cheese,,,,,,,,,
specialty chocolate,misc. beverages,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
brown bread,UHT-milk,beef,red/blush wine,brown bread,rolls/buns,pickled vegetables,,,,
sausage,bottled beer,,,,,,,,,
napkins,other vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
bottled water,coffee,,,,,,,,,
long life bakery product,shopping bags,,,,,,,,,
beef,shopping bags,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
waffles,whole milk,other vegetables,white bread,,,,,,,
other vegetables,dessert,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
salt,domestic eggs,,,,,,,,,
citrus fruit,butter,chocolate,,,,,,,,
cream cheese ,pip fruit,citrus fruit,chicken,other vegetables,curd,specialty chocolate,pastry,,,
whole milk,brown bread,candy,,,,,,,,
beef,ice cream,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
other vegetables,bottled water,,,,,,,,,
waffles,tropical fruit,hard cheese,pickled vegetables,,,,,,,
sausage,brown bread,meat spreads,,,,,,,,
pork,yogurt,,,,,,,,,
pork,napkins,,,,,,,,,
curd,syrup,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
ham,coffee,,,,,,,,,
frankfurter,liquor (appetizer),red/blush wine,,,,,,,,
soda,UHT-milk,dessert,napkins,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
female sanitary products,whole milk,hygiene articles,,,,,,,,
whole milk,misc. beverages,pot plants,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
butter milk,dessert,processed cheese,,,,,,,,
pork,butter,,,,,,,,,
mustard,fruit/vegetable juice,,,,,,,,,
rolls/buns,domestic eggs,ice cream,pot plants,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
chicken,tropical fruit,waffles,whipped/sour cream,brown bread,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
other vegetables,mustard,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,salt,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
chocolate marshmallow,newspapers,,,,,,,,,
hamburger meat,whole milk,pet care,meat,other vegetables,rolls/buns,grapes,oil,,,
tropical fruit,detergent,,,,,,,,,
margarine,bottled beer,,,,,,,,,
bottled beer,citrus fruit,shopping bags,,,,,,,,
ham,other vegetables,,,,,,,,,
domestic eggs,coffee,,,,,,,,,
meat,white bread,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
citrus fruit,curd,margarine,,,,,,,,
canned beer,fish,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
other vegetables,shopping bags,,,,,,,,,
soda,margarine,soda,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
butter,candy,candy,,,,,,,,
sausage,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pork,yogurt,margarine,,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
long life bakery product,soap,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
soda,pip fruit,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
chicken,onions,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
whole milk,margarine,,,,,,,,,
canned beer,salty snack,,,,,,,,,
curd,long life bakery product,,,,,,,,,
pastry,margarine,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
other vegetables,specialty fat,,,,,,,,,
coffee,other vegetables,specialty cheese,,,,,,,,
beverages,condensed milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
rolls/buns,domestic eggs,rolls/buns,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
yogurt,candy,canned beer,chocolate,,,,,,,
whole milk,ice cream,soda,yogurt,spices,,,,,,
whole milk,salty snack,,,,,,,,,
napkins,dessert,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
tropical fruit,soups,,,,,,,,,
whole milk,rolls/buns,canned fish,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
other vegetables,sugar,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
hygiene articles,brown bread,,,,,,,,,
cream cheese ,mustard,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
sauces,yogurt,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
specialty bar,whole milk,cling film/bags,,,,,,,,
ham,other vegetables,,,,,,,,,
chicken,shopping bags,,,,,,,,,
pork,dishes,,,,,,,,,
beef,male cosmetics,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
frankfurter,chocolate,pip fruit,margarine,butter,napkins,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
condensed milk,shopping bags,long life bakery product,,,,,,,,
mustard,rolls/buns,white bread,newspapers,,,,,,,
ice cream,butter,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
chicken,pip fruit,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
citrus fruit,hard cheese,pastry,salty snack,,,,,,,
rolls/buns,root vegetables,specialty chocolate,,,,,,,,
frankfurter,margarine,,,,,,,,,
soda,frozen vegetables,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
frozen meals,mayonnaise,whipped/sour cream,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
coffee,sauces,,,,,,,,,
shopping bags,butter milk,,,,,,,,,
whole milk,whipped/sour cream,newspapers,,,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
citrus fruit,berries,,,,,,,,,
cream cheese ,white bread,,,,,,,,,
ice cream,candy,canned beer,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
newspapers,bottled water,hard cheese,,,,,,,,
root vegetables,yogurt,,,,,,,,,
condensed milk,rolls/buns,organic products,,,,,,,,
sausage,salty snack,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
citrus fruit,pet care,,,,,,,,,
sausage,curd,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
frozen fish,ketchup,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
soda,bottled water,,,,,,,,,
liqueur,chocolate,,,,,,,,,
beef,spread cheese,misc. beverages,,,,,,,,
soda,pastry,,,,,,,,,
other vegetables,frozen vegetables,whole milk,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
margarine,butter,,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
liquor,newspapers,,,,,,,,,
napkins,yogurt,,,,,,,,,
pork,shopping bags,,,,,,,,,
bottled water,curd,,,,,,,,,
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
other vegetables,rolls/buns,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
beef,whole milk,,,,,,,,,
white wine,soda,,,,,,,,,
rolls/buns,photo/film,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
tropical fruit,sweet spreads,,,,,,,,,
bottled beer,whole milk,bottled water,,,,,,,,
pork,citrus fruit,,,,,,,,,
soda,chocolate,,,,,,,,,
candy,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ice cream,white wine,soups,instant coffee,,,,,,,
chicken,butter,,,,,,,,,
sausage,dessert,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
soda,curd,,,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
frankfurter,salt,,,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
white bread,fruit/vegetable juice,,,,,,,,,
semi-finished bread,brown bread,,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
sausage,citrus fruit,whole milk,butter milk,salty snack,dessert,specialty chocolate,,,,
soap,yogurt,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
whole milk,pork,,,,,,,,,
